,nctid,title
2959,NCT01285752,A Study of AK106-001616 in Patients With Rheumatoid Arthritis (RA)
2960,NCT00633919,Efficacy of SLITone in House Dust Mite Allergic Patients
2961,NCT00550771,Phase II Trial to Compare the Safety of Two Chemotherapy Plus Trastuzumab Regimens as Adjuvant Therapy for HER2-positive Breast Cancer (Study P05048)
2962,NCT01052779,A Trial Comparing Ferumoxytol to Iron Sucrose for the Treatment of Iron Deficiency Anemia in Adult Subjects With Chronic Kidney Disease
2963,NCT01154985,"Double-Blind, Placebo-Controlled Study of Two Doses of EPA-E in Patients With Non Alcoholic Steatohepatitis (NASH)"
2964,NCT00505765,A Multicenter Study of NAP (AL-108) in Schizophrenia
2965,NCT00382720,Docetaxel and Oxaliplatin in Gastric Cancer
2966,NCT01051596,A Study of ABT-888 in Combination With Temozolomide for Colorectal Cancer
2967,NCT01796964,Efficacy and Safety Study of ESBA1008 Versus EYLEA®
2968,NCT00381719,Safety and Efficacy of AGN 203818 in Patients With Painful Diabetic Peripheral Neuropathy
2969,NCT01491529,Evaluation of the Efficacy and Safety of Modified Release AFQ056 in Parkinson's Patients With L-dopa Induced Dyskinesias
2970,NCT00070109,Trabectedin in Treating Young Patients With Recurrent or Refractory Soft Tissue Sarcoma or Ewing's Family of Tumors
2971,NCT00707954,"Safety, Pharmacokinetics and Pharmacodynamics of TA-7284 in Type 2 Diabetic Patients"
2972,NCT00444535,Lapatinib and Bevacizumab for Metastatic Breast Cancer
2973,NCT00216463,Safety and Tolerability of Varying Load and Dose of ISIS 301012 in People With Elevated LDL-cholesterol Levels
2974,NCT01519427,Selumetinib and Akt Inhibitor MK2206 in Treating Patients With Stage III or Stage IV Melanoma Who Failed Prior Therapy With Vemurafenib or Dabrafenib
2975,NCT00041756,Efficacy and Safety of PG-530742 in the Treatment of Mild to Moderate Knee Osteoarthritis
2976,NCT00351078,PTC124 for the Treatment of Cystic Fibrosis
2977,NCT00589121,"Image-Guided Radiation Therapy in Treating Patients With Primary Soft Tissue Sarcoma of the Shoulder, Arm, Hip, or Leg"
2978,NCT00389168,Irbesartan and Atenolol in Hypertensive Heart Disease
2979,NCT00507507,A Study to Compare Tenofovir DF Versus the Combination of Emtricitabine Plus Tenofovir DF for the Treatment of Chronic Hepatitis B in Patients With Normal Alanine Aminotransferase (ALT)
2980,NCT01220375,PAV-trial: Plerixafor and Chemotherapy With Vinorelbine for Stem Cell Mobilization in Patients With Myeloma
2981,NCT01072175,"Investigate Safety, Pharmacokinetics and Pharmacodynamics of GSK2118436 & GSK1120212"
2982,NCT01494753,"Pharmacokinetics, Efficacy and Safety Assessment of T2345 Compared With Active Comparator in Newly Diagnosed Patients With Open-angle Glaucoma or Ocular Hypertension"
2983,NCT01082939,"Cyclophosphamide, Fludarabine, Alemtuzumab, and Rituximab (CFAR) for Relapsed or Refractory Chronic Lymphocytic Leukemia (CLL)"
2984,NCT01039675,"Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of the Combination of GSK573719 and GW642444 in Subjects With COPD"
2985,NCT00589186,Vaccine Therapy and Celecoxib in Treating Patients With Metastatic Nasopharyngeal Cancer
2986,NCT00500370,"A Pilot Study of Effects of Exenatide on Body Weight in Non-Diabetic, Obese Patients"
2987,NCT00287976,Irinotecan in Treating Young Patients With Refractory or Recurrent Hepatoblastoma
2988,NCT00530816,Phase 2 Study of Carfilzomib in Relapsed Multiple Myeloma
2989,NCT01423604,Study of Ruxolitinib in Pancreatic Cancer Patients
2990,NCT01474083,"A 6 Week Pharmacokinetics, Pharmacodynamics, Safety and Tolerability of GK1-399 in Type 2 Diabetes"
2991,NCT00034827,"A Multicenter Phase 2 Study of CI-1040 in Patients With Advanced Nonsmall-Cell Lung, Breast, Colon and Pancreatic Cancer"
2992,NCT01275469,Pilot Study With GFT505 (80mg) in Patients Presenting With Impaired Glucose Tolerance and Abdominal Obesity.
2993,NCT00245154,Paclitaxel + Carboplatin With/Out Cediranib Maleate in Stage III or Stage IV Non-Small Cell Lung Cancer
2994,NCT00216138,Docetaxel and Capecitabine for First Line Treatment of Metastatic Squamous Cell Carcinoma of the Head & Neck
2995,NCT00728949,A Study for Safety and Effectiveness of IMC-A12 by Itself or Combined With Antiestrogens to Treat Breast Cancer
2996,NCT00096486,Gefitinib and Everolimus in Treating Patients With Stage IIIB or Stage IV or Recurrent Non-Small Cell Lung Cancer
2997,NCT01732536,Steroid-Releasing S8 Sinus Implant for Recurrent Nasal Polyps
2998,NCT00460174,"Gemcitabine, Bevacizumab, and Abdominal Radiation Therapy in Treating Patients With Localized Pancreatic Cancer"
2999,NCT00241371,A Phase II Study of Clofarabine in Patients With Relapsed or Refractory Multiple Myeloma
3000,NCT00151242,"Study on All-Trans Retinoic Acid, Induction and Consolidation Therapy, and Pegfilgrastim After Consolidation Therapy in Younger Patients With Newly Diagnosed Acute Myeloid Leukemia"
3001,NCT00496457,Efficacy Study With 500 mg QD of TRO19622 vs Placebo in Patients With Painful Peripheral Diabetic Neuropathy
3002,NCT01338870,Study of Safety and Efficacy of PF-04991532 in Subjects With Type 2 Diabetes
3003,NCT00667758,Gonadotropin-Releasing Hormone (GnRH)-Antagonist Therapy in Rheumatoid Arthritis
3004,NCT01403051,High Dose Vitamin D and Calcium for Bone Health in Individuals Initiating HAART
3005,NCT01104701,"A Study to Examine the Efficacy, Safety and Tolerability, and Pharmacokinetics of Exenatide Once Monthly Suspension"
3006,NCT00113529,Study Of SU011248 Plus Gefitinib (Iressa) In Patients With Advanced Renal Cell Carcinoma
3007,NCT01225744,"Erbitux Study of CPT11, Oxaliplatin, UFToral Targeted Therapy"
3008,NCT01005914,Pegaspargase and Combination Chemotherapy in Treating Patients With Newly Diagnosed Acute Lymphoblastic Leukemia
3009,NCT00101101,Universal Granulocyte Macrophage-colony Stimulating Factor (GM-CSF)-Producing and GM.CD40L for Autologous Tumor Vaccine in Mantle Cell Lymphoma
3010,NCT00220272,Study of the Effect of SR57667B on 18F-Dopa PET Imaging in Patients With Parkinson's Disease
3011,NCT00288171,Allopurinol for Renal Transplant Associated Hypertension in Children
3012,NCT00087100,Pemetrexed Disodium in Treating Patients With Persistent or Recurrent Endometrial Cancer
3013,NCT00575874,Placebo and Active Comparator Controlled Dose Response Study of Rivoglitazone in Type 2 Diabetes
3014,NCT01256411,"A Long-term (12 Months) Safety, Tolerability and Efficacy Study of LCZ696 in Patients With Essential Hypertension"
3015,NCT00438568,SNIFF 120: Study of Nasal Insulin to Fight Forgetfulness (120 Days)
3016,NCT01371747,Patiromer in the Treatment of Hyperkalemia in Patients With Hypertension and Diabetic Nephropathy (AMETHYST-DN)
3017,NCT01081782,A Study of the Safety and Efficacy of ONO-4641 in Patients With Relapsing-Remitting Multiple Sclerosis
3018,NCT01266135,Safety and Efficacy of QAX576 in Patients With Idiopathic Pulmonary Fibrosis (IPF)
3019,NCT01297335,Effect of Intrathecal Clonidine in Hypertensive Subjects With Poorly Controlled Blood Pressure
3020,NCT00457457,"Study the Effects of Different Doses of UK-369,003 in Men With Lower Urinary Tract Symptoms."
3021,NCT00326872,AZD2171 in Treating Patients With Neurofibromatosis Type 1 and Plexiform Neurofibroma and/or Neurofibroma Near the Spine
3022,NCT01065051,Hemodynamic and Echocardiographic Assessment of Riociguat Effects on Myocardial Wall Contractility and Relaxation Kinetics
3023,NCT00217581,"Bevacizumab, Oxaliplatin, and Docetaxel in Treating Patients With Locally Advanced Unresectable or Metastatic Stomach or Gastroesophageal Junction Cancer"
3024,NCT01266876,Study of the Safety and Efficacy of REGN727/SAR236553 in Patients With HeFH Hypercholesterolemia
3025,NCT01086748,A Study in Schizophrenia Patients
3026,NCT00424294,A Study Of CP-195543 And Celecoxib Dual Therapy In Subjects With Rheumatoid Arthritis
3027,NCT00273884,Amonafide in Combination With Cytarabine in Secondary AML
3028,NCT00636246,A Comparison of Sertraline-reboxetine Combination Therapy Versus Sertraline or Reboxetine Monotherapy in the Treatment of Major Depression.
3029,NCT00101075,Title XELOX FOR SALIVARY GLAND CANCERS
3030,NCT00088504,Merimepodib (MMPD) in Triple Combination for the Treatment of Chronic Hepatitis C
3031,NCT00526890,"Carboplatin, Paclitaxel, Selenomethionine, and Radiation Therapy in Treating Patients With Stage III Non-Small Cell Lung Cancer That Cannot Be Removed by Surgery"
3032,NCT01137526,Efficacy and Safety Study of ABT-384 in Subjects With Mild-to-Moderate Alzheimer's Disease
3033,NCT02002403,Efficacy and Safety Study to Evaluate Two Doses of Oral DMI-5207 in Adult Subjects With Diabetic Macular Edema
3034,NCT01101594,A Study of hLL1-DOX (Milatuzumab-Doxorubicin Antibody-Drug Conjugate) in Patients With Multiple Myeloma
3035,NCT01849562,"Safety, Tolerability and Efficacy of 12-weeks of Sovaprevir, ACH-3102 and Ribavirin in Treatment-naive GT-1 HCV Subjects"
3036,NCT00390611,Paclitaxel and Carboplatin With Or Without Sorafenib In The First-Line Treatment Of Patients With Ovarian Cancer
3037,NCT00476112,A Phase II/III Tolerance and Efficacy Study of RSD1235 in Patients With Atrial Flutter
3038,NCT00492531,Sildenafil Therapy for Pulmonary Hypertension and Sickle Cell Disease
3039,NCT00046839,Celecoxib and Radiation Therapy in Treating Patients With Locally Advanced Non-Small Cell Lung Cancer
3040,NCT01061606,Temsirolimus in Treating Patients With Recurrent or Persistent Cancer of the Uterus
3041,NCT00354887,Capecitabine and Oxaliplatin in Adenocarcinoma of the Small Bowel and Ampulla of Vater
3042,NCT00253591,"Radiation Therapy With or Without Vinorelbine and Cisplatin in Treating Patients With Stage I, Stage II, or Stage III Non-Small Cell Lung Cancer"
3043,NCT01700140,Phase II Study of SyB D-0701 for Radiotherapy-Induced Nausea and Vomiting (RINV)
3044,NCT00477451,Staccato Alprazolam in Panic Attack
3045,NCT01118039,"Sunitinib Malate in Treating Patients With Locally Recurrent, Locally Advanced, Unresectable, or Metastatic Urinary Tract Cancer"
3046,NCT01083368,Temsirolimus and Bevacizumab in Hormone-Resistant Metastatic Prostate Cancer That Did Not Respond to Chemotherapy
3047,NCT00617461,A Clinical Study in Subjects With Neuropathic Pain From PHN Who Have Had an Inadequate Response to Gabapentin Treatment
3048,NCT01079949,A Phase II Study to Assess the Efficacy and Safety of Luveris® (Lutropin Alfa) in Mid Follicular Phase for Controlled Ovarian Stimulation (COS) in Advanced Reproductive Age
3049,NCT00281983,Fludarabine and Cyclophosphamide in Treating Patients Who Are Undergoing Donor Stem Cell Transplant for Chronic Lymphocytic Leukemia or Waldenstrom's Macroglobulinemia
3050,NCT01350817,Erlotinib and Docetaxel in Second Line of Treatment in Patients With Non Small Cell Lung Cancer
3051,NCT00092001,Study Of SU011248 In Patients With Metastatic Non-Small Cell Lung Cancer
3052,NCT00503906,"Abraxane, Avastin, and Gemcitabine as First-Line Therapy for Patients With Metastatic Breast Cancer"
3053,NCT01551888,"Pharmacokinetic, Safety and Tolerability Study of Aclidinium/Formoterol Fixed Dose Combination and Formoterol in Patients With Moderate to Severe Chronic Obstructive Pulmonary Disease (COPD)"
3054,NCT00433069,Retreatment of Chronic Hepatitis C Non-responders With Pegylated Interferon Alpha Plus Ribavirin Plus Pioglitazone
3055,NCT00141531,Phase II Trial of EOquin in High-risk Superficial Bladder Cancer
3056,NCT00680407,Phase II Trial of Silymarin for Non-Cirrhotic Patients With Non-Alcoholic Steatohepatitis
3057,NCT00049335,S0030: Capecitabine in Treating Older Patients W/Metastatic or Recurrent Colorectal Cancer That Cannot Be Surgically Removed
3058,NCT00447057,Study of Pemetrexed Versus Pemetrexed Plus Erlotinib as Treatment of Nonsquamous Non-Small Cell Lung Cancer (NSCLC)
3059,NCT00258310,"Ph II Study Examining Long Term/Low Dose Xeloda in Head and Neck Squamous Cell Carcinoma After Surgery, Radiation &/or Chemotherapy"
3060,NCT00052949,Imatinib Mesylate in Treating Patients With Recurrent Small Cell Lung Cancer
3061,NCT01536886,"LEO 90100 Compared With Calcipotriol Plus Betamethasone Dipropionate Ointment, LEO 90100 Vehicle and Ointment Vehicle in Subjects With Psoriasis Vulgaris"
3062,NCT00402597,Rivaroxaban in Combination With Aspirin Alone or With Aspirin and a Thienopyridine in Patients With Acute Coronary Syndromes (The ATLAS ACS TIMI 46 Trial)
3063,NCT00687817,Study of Bavituximab Plus Paclitaxel and Carboplatin in Patients With Non-Small Cell Lung Cancer
3064,NCT00112905,Sorafenib in Treating Patients With Regional or Metastatic Cancer of the Urothelium
3065,NCT00641706,"Vorinostat and Bortezomib in Treating Patients With Progressive, Recurrent Glioblastoma Multiforme"
3066,NCT01453569,"Safety, Efficacy and Dose Titration of Sodium Oligo-mannurarate Capsule on Mild to Moderate Alzheimer's Disease"
3067,NCT00438607,Dose-Finding Safety Study of BIIB014 in Combination With Levodopa in Moderate to Late Stage Parkinson's Disease
3068,NCT00601484,An Effectiveness and Safety Study of PF-04383119 for the Treatment of Pain in Interstitial Cystitis
3069,NCT00459953,Extended Cessation Treatment for Teen Smokers
3070,NCT00661609,A Phase II Study of AZD4877 (a Novel Anti-mitotic Agent) in Advanced Bladder Cancer
3071,NCT01694537,The Effects of DLBS1033 on Haemostasis Parameters in Healthy Volunteers
3072,NCT01004510,Zometa Adjuvant Treatment of Malignant Pleural Effusion Due To Non-Small Cell Lung Cancer
3073,NCT00526136,Vernakalant (Oral) Prevention of Atrial Fibrillation Recurrence Post-Conversion Study
3074,NCT01371617,A Phase 2 Study With IPI-926 in Patients With Myelofibrosis
3075,NCT01929863,"Study to Investigate Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of GSK2330672 in Type 2 Diabetes Patients Taking Metformin"
3076,NCT00103259,Bortezomib With or Without Irinotecan in Treating Patients With Locally Recurrent or Metastatic Squamous Cell Carcinoma of the Head and Neck
3077,NCT00501592,Study of INT-747 in Patients With Diabetes and Presumed NAFLD
3078,NCT01098734,"Non-steroid, Atopic Dermatitis Phase IIb 12-week Trial; Topical WBI-1001 Cream"
3079,NCT00583349,Phase I & II Trial of Intravesicular Abraxane for Treatment-refractory Bladder Cancer
3080,NCT00054613,Safety and Efficacy Study of Photopheresis Plus Standard Therapy to Treat Chronic Graft-versus-Host Disease
3081,NCT00373516,Safety and Efficacy Study of Two Dose Regimens of Becocalcidiol in the Treatment of Plaque-Type Psoriasis
3082,NCT00400205,"Study of Induction Docetaxel, Cisplatin and 5-Fluorouracil"
3083,NCT01487551,An Open-Label Study to Evaluate Biomarkers and Safety in Systemic Sclerosis Patients Treated With ABR-215757 (Paquinimod)
3084,NCT01400815,Randomized Trial to Evaluate the Effectiveness of X-22 as a Smoking Cessation Aid
3085,NCT00683787,Docetaxel With or Without Vandetanib in Treating Patients With Metastatic Stomach Cancer or Gastroesophageal Junction Cancer
3086,NCT01435044,"Safety Study of Regimens of Sofosbuvir, GS-0938, and Ribavirin in Patients With Chronic Hepatitis C Infection"
3087,NCT00700336,Study of CBP501 + Pemetrexed + Cisplatin on MPM (Phase I/II)
3088,NCT00738582,An Efficacy Study of MORAb-009 (Amatuximab) in Subjects With Pleural Mesothelioma
3089,NCT00451555,Enzastaurin Plus Fulvestrant vs. Placebo Plus Fulvestrant in Breast Cancer
3090,NCT00559871,Safety and Efficacy Study of Fipamezole in Treatment of Motor Dysfunctions in Parkinson's Disease
3091,NCT00203411,Bevacizumab Plus Capecitabine (Xeloda) in Patients With Untreated Metastatic Colorectal Cancer
3092,NCT00731211,Pazopanib in Previously Treated Patients With Metastatic Renal Cell Carcinoma
3093,NCT01040637,A Multiple Dose Study of TD-1211 in Healthy Volunteers and Patients With Opioid-Induced Constipation
3094,NCT00636961,"An Exploratory Study, to Assess the Effect of Repeat-dose Inhaled Indacaterol Maleate (300 μg) on Dynamic and Static Lung Hyperinflation, Subjective Breathlessness and Health Status in Patients With Chronic Obstructive Pulmonary Disease(COPD)"
3095,NCT01521663,Safety and Efficacy Study of IPX159 in Restless Legs Syndrome (RLS)
3096,NCT00289640,Study of Ipilimumab (MDX-010) Monotherapy in Patients With Previously Treated Unresectable Stage III or IV Melanoma
3097,NCT00735345,Chemotherapy Induction and Chemoradiotherapy in Patients With Esophageal Carcinoma
3098,NCT00728663,Docetaxel and Cetuximab in Treating Patients With Metastatic Prostate Cancer
3099,NCT01349231,Ketamine Infusion for Obsessive-Compulsive Disorder
3100,NCT01175291,FOLFOX/Bevacizumab +/- MK-0646 in Metastatic Colorectal Cancer
3101,NCT01318642,Ganitumab in Locally Advanced Unresectable Adenocarcinoma of the Pancreas
3102,NCT00234104,A Dose-finding Study of OPC-41061 in Treatment of Cardiac Edema (Congestive Heart Failure)
3103,NCT01278056,The Impact of Deferasirox on Non-Alcoholic-Steatohepatitis
3104,NCT00471536,Pazopanib in Treating Patients With Metastatic Urothelial Cancer
3105,NCT01542684,Study of Azacytidine Followed by GM-CSF in Patients With Myelodysplastic Syndrome (MDS)
3106,NCT00623012,Rapamycin for Prevention of Chronic Graft-Versus-Host Disease
3107,NCT00337259,Gemcitabine for Marginal Zone Lymphoma
3108,NCT00475644,A Study of Enzastaurin in Participants With Follicular Lymphoma
3109,NCT00480935,A Study of Neoadjuvant Sutent for Patients With Renal Cell Carcinoma
3110,NCT02544789,Clofarabine in Chinese Pediatric Patients With Refractory or Relapsed Acute Lymphoblastic Leukemia
3111,NCT00083590,Huperzine A in Alzheimer's Disease
3112,NCT00687193,"Comparison Of 5 CP-690,550 Doses Vs. Placebo, For The Treatment Of Rheumatoid Arthritis In Japan"
3113,NCT00725725,Org 25935 Versus Placebo as Augmentation to Cognitive-behavioral Therapy to Treat Panic Disorder (P05705)
3114,NCT03070730,Hemodynamic Response of Neuropathic And Non-Neuropathic POTS Patients To Adrenoreceptor Agonist And Antagonist
3115,NCT00543959,Efficacy and Tolerability of MK0533 in Patients With Type 2 Diabetes (0533-005)
3116,NCT00494221,A Phase I/II Study of Cediranib (AZD2171) in Japanese Metastatic Colorectal Cancer Patients in Combination With FOLFOX
3117,NCT00093626,Sorafenib in Treating Patients With Persistent or Recurrent Ovarian Epithelial or Peritoneal Cancer
3118,NCT00687596,Study of TAC-101 as Second Line Treatment in Patients With Advanced Hepatocellular Carcinoma Who Received Sorafenib as First Line Therapy
3119,NCT00501644,Chemoimmunotherapy Study for Patients With Epithelial Ovarian Cancer
3120,NCT00176293,Randomized Phase II Trial of Doxil With or Without Dexamethasone for Metastatic Hormone Refractory Prostate Cancer
3121,NCT00170677,Topotecan Weekly Versus Topotecan Day 1-5 in Patient With Platin-resistant Ovarian Cancer
3122,NCT01432730,"A Study to Assess the Efficacy of Gefapixant (MK-7264/AF-219), in Participants With Chronic Cough (MK-7264-006)"
3123,NCT01565395,Incobotulinum Toxin A for Sialorrhea in Parkinson's Disease (PD)/Parkinsonism and Amyotrophic Lateral Sclerosis (ALS)
3124,NCT00321815,Trial Of Erlotinib With Or Without PF-3512676 In Advanced Non Small Cell Lung Cancer
3125,NCT01216280,Efficacy and Tolerability Study of Natura-Alpha in the Treatment of Patients With Active Ulcerative Colitis
3126,NCT00601718,"Vorinostat, Rituximab, Ifosfamide, Carboplatin, and Etoposide in Treating Patients With Relapsed or Refractory Lymphoma or Previously Untreated T-Cell Non-Hodgkin Lymphoma or Mantle Cell Lymphoma"
3127,NCT00557739,Study of CRx-191 to Assess Activity in Plaque Psoriasis
3128,NCT01220024,Safety and Efficacy of CollaRx® Bupivacaine Implant in Men After Open Laparotomy Herniorrhaphy
3129,NCT01406548,Safety and Efficacy of Multiple Dosing Regimens of BPS804 in Post Menopausal Women With Low Bone Mineral Density
3130,NCT00357110,Anastrozole and Fulvestrant Compared to Anastrozole as Adjuvant Treatment of Postmenopausal Patients With Breast Cancer
3131,NCT00191373,A Trial for HER2 Positive Breast Cancer Patients With Metastatic Disease
3132,NCT00434226,"A Study of Sunitinib in Combination With Bevacizumab, Carboplatin, and Paclitaxel in Patients With Advanced Non-Small Cell Lung Cancer (SABRE-L)"
3133,NCT00437294,Enzastaurin in Combination of Capecitabine to Treat Breast Cancer
3134,NCT00062504,Phase 2 Trial Using Talampanel in Patients With Recurrent High Grade Gliomas
3135,NCT00208260,Intensified Chemotherapy in CRC After Resection of Liver Metastases
3136,NCT00463788,"Cetuximab and Cisplatin in the Treatment of Triple Negative (Estrogen Receptor [ER] Negative, Progesterone Receptor [PgR] Negative, and Human Epidermal Growth Factor Receptor 2 [HER2] Negative) Metastatic Breast Cancer"
3137,NCT01020799,AZD7268 Safety and Tolerability Study
3138,NCT00593645,"Clofarabine, Cytarabine, and Thymoglobulin for Allogeneic Transplantation"
3139,NCT00584740,"Efficacy, Safety and Tolerability of AIN457 in Moderate to Severe Active Crohn's Disease"
3140,NCT01190475,BGS649 Monotherapy in Moderate to Severe Endometriosis Patients
3141,NCT01377844,Efficacy and Safety of EGT0001442 in Patients With Type 2 Diabetes Mellitus
3142,NCT00529204,"Effects Of Exenatide On Liver Biochemistry, Liver Histology And Lipid Metabolism In Patients With Fatty Liver Disease"
3143,NCT00680940,A Study of Mycobacterium w in Combination With Paclitaxel Plus Cisplatin in Advanced Non Small Cell Lung Cancer
3144,NCT01017367,Study of MDX-1100 (Anti-CXCL10 Human Monoclonal Antibody) in Combination With Methotrexate in Subjects With Active Rheumatoid Arthritis (RA)
3145,NCT00698230,Safety and Efficacy of INCB013739 Plus Metformin Compared to Metformin Alone on Glycemic Control in Type 2 Diabetics
3146,NCT00268710,Docetaxel in Hormone Refractory Prostate Cancer (HRPC)[Weekly or 3weekly TAX + Prednisone in HRPC]
3147,NCT00320255,A Phase 2 Pilot Study of Apixaban for the Prevention of Thromboembolic Events in Patients With Advanced (Metastatic) Cancer
3148,NCT00564928,A Phase 2 Study to Investigate the Clinical Activity of IPI-504 in Patients With Hormone-resistant Prostate Cancer
3149,NCT00590460,Antibody Conditioning Regimen For Allogeneic Donor Stem Cell Transplantation Of Patients With Fanconi Anemia
3150,NCT01062971,Clinical Study of A Fixed Combination of Timolol-Brimonidine-Dorzolamide
3151,NCT00318643,Safety Study of Recombinant Human Hyaluronidase (Chemophase) in Combination With Mitomycin in Participants With Superficial Bladder Cancer
3152,NCT00428415,Effect of Tesofensine on Energy Balance in Humans.
3153,NCT00053014,"S0125, Chemotherapy, Total-Body Irradiation, and Peripheral Stem Cell Transplantation in Treating Older Patients With Acute Myeloid Leukemia"
3154,NCT00509899,Open Label Ruxolitinib (INCB018424) in Patients With Myelofibrosis and Post Polycythemia Vera/Essential Thrombocythemia Myelofibrosis
3155,NCT00726648,CDP323 Biomarker Study
3156,NCT00327808,Inhaled TPI-1020 Versus Inhaled Budesonide in Smokers With Mild Reversible Asthma
3157,NCT01241422,A Study to Evaluate the Effectiveness of JNJ 40929837 for the Treatment of Asthma Using a Bronchial Allergen Challenge Model
3158,NCT00295503,"Cisplatin, Pemetrexed and Bevacizumab for Untreated Malignant Mesothelioma"
3159,NCT01299610,A Study to Test the Effect of 2 Different Doses of Topical GW870086X on Atopic Dermatitis Also Including a Postive Control and a Placebo
3160,NCT00346645,A Phase II Study of Velcade® in Patients Stage IIIB OR IV Non-Small Cell Lung Cancer
3161,NCT00549640,Testing Methylphenidate for Smoking Abstinence
3162,NCT00424203,"Doxorubicin and Cyclophosphamide in Treating Older Women With Stage I, Stage II, or Stage III Breast Cancer That Has Been Removed By Surgery"
3163,NCT01094496,A Study of the CDX-1307 Vaccine Regimen in Patients With Newly Diagnosed Muscle-Invasive Bladder Cancer (The N-ABLE Study)
3164,NCT00104897,17-N-Allylamino-17-Demethoxygeldanamycin in Treating Patients With Metastatic Malignant Melanoma
3165,NCT01265875,Secretin Infusion for Pain Due to Chronic Pancreatitis
3166,NCT01171326,Study to Evaluate the Safety and Efficacy of Topical Minocycline FXFM244 in Impetigo Patients
3167,NCT00403273,Safety and Efficacy of Botulinum Toxin A Injection in Patients With Painful Artificial Knee Arthroplasty (TKA)
3168,NCT00716092,The Effect of Linagliptin (BI 1356) on 24h-glucose Control and Various Biomarkers in Type 2 Diabetic Patients
3169,NCT00077350,A Phase II Trial of Triapine (NSC #663249) in Combination With Gemcitabine as Second Line Treatment of Non-Small Cell Lung Cancer
3170,NCT00190723,A Study of LY317615 in Patients With Brain Tumors
3171,NCT00478218,"Lenalidomide, Cyclophosphamide, and Dexamethasone in Treating Patients With Newly Diagnosed Multiple Myeloma"
3172,NCT02214888,"Efficacy, Safety and Pharmacokinetics of BIRB 796 BS Tablets in Patients With Active Rheumatoid Arthritis"
3173,NCT00384553,Risk Adapted Therapy Optimization for Patients With Relapsed or Refractory Aggressive Non-Hodgkin-Lymphoma
3174,NCT00228995,A Phase II Study to Assess Changes in Physical Function in Elderly Patients With Chronic Anemia
3175,NCT01580397,Pilot Phase 2 Study to Investigate the Preliminary Efficacy and Safety of INNO-206 in Advanced Pancreatic Cancer
3176,NCT00126191,Intensive Chemotherapy and Rituximab in the Treatment of Burkitt Lymphoma
3177,NCT00296959,Topiramate as a Treatment for Levodopa-Induced Dyskinesia in Parkinson's Disease
3178,NCT00552188,Phase 2 Study in Vascular Inflammation on Patients After an Acute Coronary Syndrome Event
3179,NCT00367744,Rosiglitazone Effect on Mitochondria and Lipoatrophy
3180,NCT01213368,Dose Ranging Study of Dronedarone for the Control of Ventricular Rate in Japanese Patients With Permanent Atrial Fibrillation
3181,NCT00369226,Bortezomib Plus Tacrolimus and Methotrexate to Prevent Graft Versus Host Disease (GVHD) After Mismatched Allogeneic Non-Myeloablative Blood Stem Cell Transplantation
3182,NCT00550043,"A Study Exploring the Safety, Tolerability and Efficacy of a 4 Week Course of INCB018424 in Subjects With Active Rheumatoid Arthritis"
3183,NCT02254707,"Evaluation of the Antiviral Pharmacodynamic Effect, Safety, and Pharmacokinetics of Escalating Doses of BILB 1941 ZW to Patients With Chronic Hepatitis C Genotype 1 Virus Infection"
3184,NCT00303524,Comparative Study of Oestradiol Suppression: Zoladex 10.8mg/3 Month vs. 3.6mg/Month in ER +ve EBC Pre-menopausal Patients
3185,NCT01029054,"Carfilzomib and Lenalidomide With Dexamethasone Combination in Newly Diagnosed, Previously Untreated Multiple Myeloma"
3186,NCT01243385,Metformin Hydrochloride as First-Line Therapy in Treating Patients With Locally Advanced or Metastatic Prostate Cancer
3187,NCT00089986,GR270773 In The Treatment Of Suspected Or Confirmed Gram-Negative Severe Sepsis In Adults
3188,NCT00754702,Vinorelbine Metronomic Plus Lapatinib for Overexpressing HER-2 Metastatic Breast Cancer
3189,NCT00939159,Study of LBH589 for Patients With Low or Intermediate-1 Risk Myelodysplastic Syndrome (MDS)
3190,NCT01666691,"An Efficacy, Safety and Pharmacokinetics Study of Beloranib (ZGN-440 for Injectable Suspension) in Obese Subjects"
3191,NCT00057031,Study of High-Dose Pulse Administration DN-101 (Calcitriol) in Patients With Myelodysplastic Syndrome (MDS)
3192,NCT00379145,"Trabectedin in Treating Patients With Advanced, Persistent, or Recurrent Leiomyosarcoma of the Uterus"
3193,NCT01077297,Tezosentan in Pulmonary Arterial Hypertension
3194,NCT00258323,"Radiotherapy,Chemotherapy,Before and After Surgery in Advanced Esophageal or Gastroesophageal Junction Cancer"
3195,NCT00657189,A Study to Evaluate Safety and Tolerability of Subcutaneous Doses of MEDI-545 in Subjects With Lupus
3196,NCT00135525,Study Of Generalized Anxiety Disorder
3197,NCT01051817,POC-MD MRI-based Trial in Relapsing-remitting Multiple Scler
3198,NCT00086892,Cetuximab and Carboplatin in Treating Patients With Recurrent Ovarian Epithelial Cancer or Primary Peritoneal Cancer
3199,NCT01123356,Treatment of Chronic Lymphocytic Leukemia in Patients Previously Exposed to Rituximab
3200,NCT01517373,Study To Understand Efficacy And Safety Of Investigational Agent (PF-04937319) Compared To Approved Agent (Glimepiride) In Patients With Diabetes On Metformin
3201,NCT01318109,Efficacy and Safety of Alogliptin Used Combination With Metformin in Participants With Type 2 Diabetes in Japan
